name,brand,lat,lng,address_text,township,city,country_code
Ahlone Filling Station,MPE,16.7777,96.1383,Strand Road,Ahlon,Yangon,MM
Shwe Taung Ahlone Station,Shwe Taung,16.7812,96.1401,Lower Kyee Myin Daing Road,Ahlon,Yangon,MM
Total Ahlone,Total,16.7755,96.1357,Strand Road,Ahlon,Yangon,MM
Ahlone Fuel Stop,Unknown,16.779,96.1395,Near Strand Road and Lower Kyee Myin Daing Road intersection,Ahlon,Yangon,MM
MPE Bahan Station,MPE,16.807,96.168,University Avenue Road,Bahan,Yangon,MM
Shwe Taung (Bahan),Shwe Taung,16.802,96.157,Inya Road,Bahan,Yangon,MM
Total Bahan Station,Total,16.805,96.172,Than Lwin Road,Bahan,Yangon,MM
PTT Bahan Station,PTT,16.812,96.165,Bahan 3rd Street,Bahan,Yangon,MM
CNPC Bahan Station,CNPC,16.798,96.161,Inya Road,Bahan,Yangon,MM
Myaynigone Fuel Station,,16.804,96.149,Pyay Road,Bahan,Yangon,MM
MPE Filling Station (Botahtaung),MPE,16.771,96.167,"Strand Road, near Botahtaung Pagoda",Botahtaung,Yangon,MM
Shwe Taung Fuel Station (Botahtaung),Shwe Taung,16.768,96.165,Near Botahtaung Jetty,Botahtaung,Yangon,MM
PTT Station (Botahtaung),PTT,16.775,96.172,Corner of Bo Aung Kyaw Street and Strand Road,Botahtaung,Yangon,MM
Total Filling Station (Botahtaung),Total,16.77,96.158,Near Merchant Street,Botahtaung,Yangon,MM
MPE Filling Station (Shwe Gon Taing),MPE,16.808,96.154,Shwe Gon Taing Road,Dagon,Yangon,MM
Shwe Taung Fuel Station (Myaynigone),Shwe Taung,16.809,96.146,"Pyay Road, Myaynigone",Dagon,Yangon,MM
PTT Filling Station (Near U Wizara),PTT,16.794,96.146,U Wizara Road,Dagon,Yangon,MM
CNPC Filling Station ( возле Shwedagon Pagoda Road),CNPC,16.796,96.148,Shwedagon Pagoda Road,Dagon,Yangon,MM
PTT Filling Station ( возле U Wisara),PTT,16.794,96.15,U Wisara Road,Dagon,Yangon,MM
MPE Filling Station ( возле Shwedagon),MPE,16.798,96.151,Shwedagon Pagoda Road,Dagon,Yangon,MM
MPE Dagon Seikkan,MPE,16.821,96.232,Yadanar Road,Dagon Seikkan,Yangon,MM
PTT Dagon Seikkan,PTT,16.815,96.218,Near Yadanar Market,Dagon Seikkan,Yangon,MM
Shwe Taung Dagon Seikkan,Shwe Taung,16.835,96.245,Main Road,Dagon Seikkan,Yangon,MM
CNPC Dagon Seikkan,CNPC,16.828,96.225,Industrial Zone Road,Dagon Seikkan,Yangon,MM
Total Dagon Seikkan,Total,16.841,96.238,Near Bridge,Dagon Seikkan,Yangon,MM
Ahlone Filling Station,,16.81,96.22,Corner of Main Road and Side Street,Dagon Seikkan,Yangon,MM
Mya Yadana Fuel Station,,16.83,96.24,Beside Mya Yadana Pagoda,Dagon Seikkan,Yangon,MM
Myoma Fuel Station,,16.805,96.21,Myoma Road,Dagon Seikkan,Yangon,MM
Yadanarbon Fuel Station,,16.832,96.222,Yadanarbon Road,Dagon Seikkan,Yangon,MM
MPE Dala,MPE,16.776,96.186,"Dala Township, Yangon",Dala,Yangon,MM
Shwe Byine Phyu Fuel Station,Unknown,16.769,96.182,"Dala Township, Yangon",Dala,Yangon,MM
PTT Dala,PTT,16.773,96.184,"Dala Township, Yangon",Dala,Yangon,MM
MPE Filling Station (Dawbon),MPE,16.798,96.188,Bago River Road,Dawbon,Yangon,MM
Shwe Taung Filling Station (Dawbon),Shwe Taung,16.792,96.195,Corner of Lay Daungkan Road and Bago River Road,Dawbon,Yangon,MM
PTT Filling Station (Dawbon),PTT,16.795,96.192,Lay Daungkan Road,Dawbon,Yangon,MM
Filling Station near YCDC Office,,16.79,96.17,"Near YCDC Office, Bago River Road",Dawbon,Yangon,MM
CNPC Filling Station (Dawbon),CNPC,16.785,96.175,Bago River Road,Dawbon,Yangon,MM
MPE Filling Station near Dawbon Bridge,MPE,16.78,96.18,Near Dawbon Bridge,Dawbon,Yangon,MM
MPE Filling Station (Hlaing),MPE,16.857,96.126,Near Thamine Junction,Hlaing,Yangon,MM
PTT Filling Station (Hlaing),PTT,16.852,96.12,"Pyay Road, near Thamine Junction",Hlaing,Yangon,MM
Shwe Taung Filling Station (Hlaing),Shwe Taung,16.865,96.124,Insein Road,Hlaing,Yangon,MM
MPE Filling Station (Kamayut - near Hlaing),MPE,16.844,96.136,Hanthawaddy Road (close proximity to Hlaing Tsp),Hlaing,Yangon,MM
CNPC Filling Station (Hlaing),CNPC,16.861,96.114,Parami Road,Hlaing,Yangon,MM
Total Filling Station (Hlaing),Total,16.859,96.13,Near Hlaing Railway Station,Hlaing,Yangon,MM
MPE Fuel Station (Hlaingthaya),MPE,16.875,96.035,Yangon-Pathein Road,Hlaingthaya,Yangon,MM
Shwe Taung Fuel Station (Hlaingthaya),Shwe Taung,16.862,96.051,Yangon-Pathein Road,Hlaingthaya,Yangon,MM
PTT Station (Hlaingthaya),PTT,16.848,96.065,Yangon-Pathein Road,Hlaingthaya,Yangon,MM
CNPC Fuel Station (Hlaingthaya),CNPC,16.835,96.078,Yangon-Pathein Road,Hlaingthaya,Yangon,MM
MPE Fuel Station 2 (Hlaingthaya),MPE,16.89,96.02,Yangon-Pathein Road,Hlaingthaya,Yangon,MM
Shwe Byain Phyu Fuel Station,,16.87,96.045,Yangon-Pathein Road,Hlaingthaya,Yangon,MM
Fuel Station near Hlaingthaya Industrial Zone,,16.81,96.085,Hlaingthaya Industrial Zone Road,Hlaingthaya,Yangon,MM
PTT (Hlaingthaya 2),PTT,16.855,96.058,Yangon-Pathein Road,Hlaingthaya,Yangon,MM
CNPC (Hlaingthaya 2),CNPC,16.828,96.085,Yangon-Pathein Road,Hlaingthaya,Yangon,MM
MPE Filling Station,MPE,16.925,96.103,Hlaing River Road,Insein,Yangon,MM
Shwe Taung Filling Station,Shwe Taung,16.915,96.112,Near Insein YBS Bus Stop,Insein,Yangon,MM
PTT Filling Station,PTT,16.905,96.12,Pyay Road,Insein,Yangon,MM
CNPC Filling Station,CNPC,16.895,96.115,Insein Road,Insein,Yangon,MM
TOTAL Filling Station,TOTAL,16.93,96.108,Ywar Ma Kone Road,Insein,Yangon,MM
MPE Filling Station (2),MPE,16.888,96.125,Beside Insein Railway Station,Insein,Yangon,MM
Shwe Byine Filling Station,,16.876,96.109,Near Thamaing Junction,Insein,Yangon,MM
Yoma Filling Station,,16.935,96.115,Near Insein Market,Insein,Yangon,MM
MPE Filling Station (Insein Road),MPE,16.845,96.139,Insein Road,Kamayut,Yangon,MM
Shwe Taung Filling Station (Near Hledan),Shwe Taung,16.835,96.143,"Pyay Road, Near Hledan Junction",Kamayut,Yangon,MM
PTT Filling Station (Pyay Road),PTT,16.851,96.137,Pyay Road,Kamayut,Yangon,MM
MPE Filling Station (Dhammazedi Road),MPE,16.828,96.146,Dhammazedi Road,Kamayut,Yangon,MM
CNPC Filling Station (Near Hanthawaddy),CNPC,16.822,96.15,"Hanthawaddy Roundabout, Pyay Road",Kamayut,Yangon,MM
Shwe Byain Phyu Filling Station (Pyay Road),Shwe Byain Phyu,16.849,96.138,Pyay Road,Kamayut,Yangon,MM
Bandoola Filling Station (Pyay Road),Bandoola,16.843,96.14,Pyay Road,Kamayut,Yangon,MM
MPE Filling Station (Sule Pagoda Road),MPE,16.774,96.16,Corner of Sule Pagoda Road and Anawrahta Road,Kyauktada,Yangon,MM
PTT Station Kyauktada,PTT,16.776,96.159,Sule Pagoda Road,Kyauktada,Yangon,MM
Shwe Taung Fuel Station,Shwe Taung,16.772,96.155,Anawrahta Road,Kyauktada,Yangon,MM
MPE Kyimyindaing,MPE,16.818,96.129,Corner of Pyay Road and Kyimyindaing Kanar Road,Kyeemyindaing,Yangon,MM
Shwe Taung Kyimyindaing,Shwe Taung,16.819,96.134,"Near Railway Hospital, Pyay Road",Kyeemyindaing,Yangon,MM
CNPC Kyimyindaing,CNPC,16.823,96.131,Insein Road,Kyeemyindaing,Yangon,MM
PTT Kyimyindaing,PTT,16.82,96.124,Pyay Road,Kyeemyindaing,Yangon,MM
MPE Ahlone Road,MPE,16.804,96.133,"Ahlone Road, near the Strand Road intersection",Kyeemyindaing,Yangon,MM
MPE Filling Station (Strand Road),MPE,16.777,96.148,Strand Road,Lanmadaw,Yangon,MM
Shwe Taung Filling Station (Latha Road),Shwe Taung,16.775,96.143,Latha Road,Lanmadaw,Yangon,MM
PTT Filling Station (Lanmadaw),PTT,16.782,96.14,Near Bo Aung Kyaw Street,Lanmadaw,Yangon,MM
MPE Filling Station (Latha),MPE,16.775,96.154,Strand Road,Latha,Yangon,MM
Shwe Taung Filling Station (Latha),Shwe Taung,16.774,96.152,Corner of Strand Road and Bo Aung Kyaw Street,Latha,Yangon,MM
MPE Filling Station near Latha Township Office,MPE,16.778,96.148,Near Latha Township Office,Latha,Yangon,MM
Filling Station on Lanmadaw Street,,16.779,96.143,Lanmadaw Street,Latha,Yangon,MM
Filling Station near Merchant Street,,16.776,96.146,Near Merchant Street,Latha,Yangon,MM
MPE Filling Station (Mayangon),MPE,16.872,96.136,"Near Mayangon Flyover, Pyay Road",Mayangon,Yangon,MM
Shwe Taung Filling Station (Mayangon),Shwe Taung,16.885,96.135,"Pyay Road, Near 8 Mile Junction",Mayangon,Yangon,MM
PTT Filling Station (Mayangon),PTT,16.892,96.128,Corner of Kabar Aye Pagoda Road and Pyay Road,Mayangon,Yangon,MM
CNPC Filling Station (Mayangon),CNPC,16.912,96.133,Kabar Aye Pagoda Road,Mayangon,Yangon,MM
Total Filling Station (Mayangon),Total,16.887,96.145,"Kabar Aye Pagoda Road, Near Mindama Junction",Mayangon,Yangon,MM
MPE Filling Station (Mindama),MPE,16.889,96.148,Mindama Road,Mayangon,Yangon,MM
Shwe Taung Filling Station (Kabaraye),Shwe Taung,16.898,96.141,Kabar Aye Pagoda Road,Mayangon,Yangon,MM
Denko Filling Station (Mayangon),Denko,16.878,96.129,"Near Mayangon Market, Pyay Road",Mayangon,Yangon,MM
Total Filling Station (8 mile),Total,16.881,96.126,"8 Mile, Pyay Road",Mayangon,Yangon,MM
CNPC Filling Station (Insein Rd),CNPC,16.905,96.148,Insein Road,Mayangon,Yangon,MM
MPE Filling Station,MPE,16.94,96.15,"Pyay Road, Mingaladon",Mingaladon,Yangon,MM
Shwe Taung Filling Station,Shwe Taung,16.95,96.14,Near Mingaladon Airport,Mingaladon,Yangon,MM
PTT Filling Station,PTT,16.96,96.13,"Insein Road, Mingaladon",Mingaladon,Yangon,MM
Total Filling Station,Total,16.93,96.16,Mingaladon Industrial Park,Mingaladon,Yangon,MM
CNPC Filling Station,CNPC,16.97,96.12,Yangon-Pyay Highway,Mingaladon,Yangon,MM
MPE Filling Station (2),MPE,16.92,96.17,Near Mingaladon Market,Mingaladon,Yangon,MM
Shwe Byain Phyu Filling Station,,16.98,96.11,Yangon-Pyay Old Road,Mingaladon,Yangon,MM
Ahlone Filling Station,,16.9,96.18,"Main Road, Mingaladon",Mingaladon,Yangon,MM
Unknown Filling Station,,16.955,96.145,"Near Railway Station, Mingaladon",Mingaladon,Yangon,MM
MPE Fuel Station,MPE,16.794,96.168,Upper Pansodan Road,Mingala Taungnyunt,Yangon,MM
Shwe Taung Fuel Station,Shwe Taung,16.793,96.164,Shwe Taung Kyar Street,Mingala Taungnyunt,Yangon,MM
Denko Fuel Station,Denko,16.798,96.172,Near Tamwe Junction,Mingala Taungnyunt,Yangon,MM
PTT Fuel Station,PTT,16.796,96.158,Bo Aung Kyaw Street,Mingala Taungnyunt,Yangon,MM
MPE Station,MPE,16.792,96.175,Kandawgalay Lake area,Mingala Taungnyunt,Yangon,MM
CNPC Fuel Station,CNPC,16.802,96.165,Near Kandawgyi Lake,Mingala Taungnyunt,Yangon,MM
Total Fuel Station,Total,16.789,96.171,Near Thamine train station,Mingala Taungnyunt,Yangon,MM
MPE North Dagon,MPE,16.881,96.217,Corner of Thudhamma Road and U Wisara Road,North Dagon,Yangon,MM
PTT North Dagon,PTT,16.895,96.211,Thudhamma Road,North Dagon,Yangon,MM
Shwe Taung North Dagon,Shwe Taung,16.875,96.225,Near Yadana Market,North Dagon,Yangon,MM
CNPC North Dagon (1),CNPC,16.89,96.205,Thudhamma Road,North Dagon,Yangon,MM
CNPC North Dagon (2),CNPC,16.87,96.215,Near Thudhamma Road,North Dagon,Yangon,MM
MPE North Dagon (2),MPE,16.879,96.209,Corner of U Wisara Road and Yay Kuu Kauk Road,North Dagon,Yangon,MM
Shwe Byain Phyu North Dagon,,16.885,96.219,Thudhamma Road,North Dagon,Yangon,MM
MPE North Okkalapa (Near Shwe Padauk),MPE,16.9179,96.1581,"Parami Road, near Shwe Padauk Junction",North Okkalapa,Yangon,MM
PTT North Okkalapa (Near Thamaing College),PTT,16.9286,96.1547,Thamaing College Road,North Okkalapa,Yangon,MM
Shwe Taung North Okkalapa (Near Traffic Light),Shwe Taung,16.9362,96.1491,"Yadanar Road, Near Traffic Light",North Okkalapa,Yangon,MM
CNPC North Okkalapa,CNPC,16.9432,96.1515,Yadanar Road,North Okkalapa,Yangon,MM
MPE North Okkalapa (Near Parami Sein Gay Har),MPE,16.9301,96.1619,Parami Road,North Okkalapa,Yangon,MM
Total North Okkalapa (Near University Avenue),Total,16.9115,96.1672,University Avenue Road,North Okkalapa,Yangon,MM
MPE North Okkalapa (Near Koenaing),MPE,16.951,96.155,Koenaing Road,North Okkalapa,Yangon,MM
PTT North Okkalapa (Corner),PTT,16.939,96.164,Corner of Parami Road and Nilar Street,North Okkalapa,Yangon,MM
MPE Filling Station (Pabedan),MPE,16.772,96.151,Corner of Sule Pagoda Road and Anawrahta Road,Pabedan,Yangon,MM
Shwe Taung Filling Station (Pabedan),Shwe Taung,16.773,96.147,"Bogyoke Aung San Road, near Sule Pagoda",Pabedan,Yangon,MM
Total Filling Station (Pabedan),Total,16.77,96.149,Sule Pagoda Road,Pabedan,Yangon,MM
PTT Filling Station (Pabedan),PTT,16.775,96.153,Strand Road,Pabedan,Yangon,MM
CNPC Filling Station (Pabedan),CNPC,16.771,96.15,Near Sule Square,Pabedan,Yangon,MM
MPE Pazundaung,MPE,16.783,96.173,Upper Pazundaung Road,Pazundaung,Yangon,MM
Denko Pazundaung,Denko,16.787,96.168,Bo Aung Kyaw Street,Pazundaung,Yangon,MM
Pazundaung Fuel Station (unbranded),,16.79,96.178,Near Strand Road,Pazundaung,Yangon,MM
Pazundaung Station,Shwe Taung,16.785,96.175,Upper Pazundaung Road,Pazundaung,Yangon,MM
PTT Pazundaung,PTT,16.789,96.171,Strand Road,Pazundaung,Yangon,MM
Seikkyi Kanaungto Filling Station (Unknown Operator),,16.692,96.248,Seikkyi Kanaungto Main Road,Seikkyi Kanaungto,Yangon,MM
Filling Station Near Seikkyi Bridge,,16.685,96.255,"Near Seikkyi Bridge, Main Road",Seikkyi Kanaungto,Yangon,MM
Station on Road to Twante,,16.675,96.23,Road to Twante,Seikkyi Kanaungto,Yangon,MM
